date_time_hourly,Solar,Wind,Geothermal,Biomass,Biogas,Small hydro,Coal,Nuclear,Batteries,Imports,Other,Natural Gas,Large Hydro,tempC,uvIndex,WindGustKmph,cloudcover,humidity,precipMM
2020-07-21 02:00:00,-32.333333333333336,3821.75,850.0,314.3333333333333,205.16666666666666,278.0,12.916666666666666,1098.25,-8.75,8917.333333333334,0.0,6589.833333333333,1687.25,24,8,20,0,29,0.0
2020-07-21 03:00:00,-33.583333333333336,3645.0,849.1666666666666,314.9166666666667,206.0,277.5,14.75,1099.3333333333333,-0.4166666666666667,9009.833333333334,0.0,6126.333333333333,1594.8333333333333,22,8,18,0,30,0.0
2020-07-21 04:00:00,-34.083333333333336,3240.0,844.75,318.0,205.83333333333334,285.75,15.583333333333334,1099.0833333333333,-0.8333333333333334,8929.083333333334,0.0,6466.083333333333,1715.25,22,8,17,0,30,0.0
2020-07-21 05:00:00,-36.333333333333336,2890.4166666666665,848.6666666666666,318.8333333333333,202.5,319.6666666666667,15.666666666666666,1098.5833333333333,-16.416666666666668,9160.75,0.0,6744.416666666667,2287.75,22,8,16,0,29,0.0
2020-07-21 06:00:00,803.4166666666666,2566.1666666666665,846.9166666666666,317.75,201.66666666666666,318.6666666666667,18.166666666666668,1098.8333333333333,2.75,8921.0,0.0,7077.75,2440.3333333333335,23,8,14,0,29,0.0
2020-07-21 07:00:00,4750.25,1980.25,843.75,332.4166666666667,202.16666666666666,357.9166666666667,16.833333333333332,1099.5833333333333,-6.0,7284.5,0.0,6871.666666666667,1668.5,25,8,12,0,26,0.0
2020-07-21 08:00:00,8436.833333333334,1529.3333333333333,837.8333333333334,344.3333333333333,202.25,360.3333333333333,16.416666666666668,1099.8333333333333,-7.416666666666667,6014.75,0.0,6489.083333333333,1212.1666666666667,27,8,9,0,23,0.0
2020-07-21 09:00:00,9783.916666666666,1181.5833333333333,831.8333333333334,350.0,189.83333333333334,326.75,17.083333333333332,1099.3333333333333,-3.3333333333333335,5170.0,0.0,6800.416666666667,1168.0,29,8,7,0,21,0.0
2020-07-21 10:00:00,10516.0,852.6666666666666,826.4166666666666,346.0,188.83333333333334,281.0,16.75,1099.25,-8.25,5150.5,0.0,7193.583333333333,1018.4166666666666,31,8,8,0,18,0.0
2020-07-21 11:00:00,10884.583333333334,691.4166666666666,826.25,350.75,186.33333333333334,273.6666666666667,15.833333333333334,1100.0,9.166666666666666,4677.0,0.0,7412.25,1526.6666666666667,33,8,10,0,16,0.0
